===============================================================================
Id,brf,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Value,len,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
28,brf,28,2020-11-02 00:00:00,410.14,410.14,407.3,410.0,18.0,0.0,MyStrategy,28,737731.0,Value,28,200000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,,DrawDown,28,0.0,0.0
29,brf,29,2020-11-03 00:00:00,411.04,412.02,410.0,412.02,12.0,0.0,MyStrategy,29,737732.0,Value,29,200000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,,DrawDown,29,0.0,0.0
30,brf,30,2020-11-04 00:00:00,412.76,415.0,412.32,413.36,25.0,0.0,MyStrategy,30,737733.0,Value,30,200000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,,DrawDown,30,0.0,0.0
31,brf,31,2020-11-05 00:00:00,413.22,413.5,409.6,413.5,7.0,0.0,MyStrategy,31,737734.0,Value,31,200000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,,DrawDown,31,0.0,0.0
32,brf,32,2020-11-06 00:00:00,415.5,419.98,415.34,417.9,22.0,0.0,MyStrategy,32,737735.0,Value,32,200000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,,DrawDown,32,0.0,0.0
33,brf,33,2020-11-09 00:00:00,419.06,420.24,417.54,417.54,22.0,0.0,MyStrategy,33,737738.0,Value,33,200000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,DrawDown,33,0.0,0.0
34,brf,34,2020-11-10 00:00:00,411.0,411.0,402.62,406.3,93.0,0.0,MyStrategy,34,737739.0,Value,34,200000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,DrawDown,34,0.0,0.0
35,brf,35,2020-11-11 00:00:00,405.34,405.42,404.74,405.24,18.0,0.0,MyStrategy,35,737740.0,Value,35,200000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,DrawDown,35,0.0,0.0
36,brf,36,2020-11-12 00:00:00,404.36,404.68,402.799,402.94,6.0,0.0,MyStrategy,36,737741.0,Value,36,200000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,DrawDown,36,0.0,0.0
37,brf,37,2020-11-13 00:00:00,406.22,407.02,406.2,407.02,11.0,0.0,MyStrategy,37,737742.0,Value,37,200000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,DrawDown,37,0.0,0.0
38,brf,38,2020-11-16 00:00:00,407.54,408.78,407.22,407.22,5.0,0.0,MyStrategy,38,737745.0,Value,38,200000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,DrawDown,38,0.0,0.0
39,brf,39,2020-11-17 00:00:00,404.52,406.4,404.52,406.02,9.0,0.0,MyStrategy,39,737746.0,Value,39,200000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,DrawDown,39,0.0,0.0
40,brf,40,2020-11-18 00:00:00,406.86,406.86,403.0,403.0,5.0,0.0,MyStrategy,40,737747.0,Value,40,200000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,DrawDown,40,0.0,0.0
41,brf,41,2020-11-19 00:00:00,402.5,403.7,401.0,401.3,15.0,0.0,MyStrategy,41,737748.0,Value,41,200000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,,DrawDown,41,0.0,0.0
42,brf,42,2020-11-20 00:00:00,401.26,401.56,400.5,401.54,11.0,0.0,MyStrategy,42,737749.0,Value,42,200000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,,DrawDown,42,0.0,0.0
43,brf,43,2020-11-23 00:00:00,401.4,402.72,401.08,401.56,8.0,0.0,MyStrategy,43,737752.0,Value,43,200000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,,DrawDown,43,0.0,0.0
44,brf,44,2020-11-24 00:00:00,401.0,401.0,390.6,392.2,50.0,0.0,MyStrategy,44,737753.0,Value,44,200000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,,DrawDown,44,0.0,0.0
45,brf,45,2020-11-25 00:00:00,388.6,389.34,387.1,387.8,26.0,0.0,MyStrategy,45,737754.0,Value,45,200000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,,DrawDown,45,0.0,0.0
46,brf,46,2020-11-26 00:00:00,389.72,389.76,386.4,387.42,11.0,0.0,MyStrategy,46,737755.0,Value,46,200000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,,DrawDown,46,0.0,0.0
47,brf,47,2020-11-27 00:00:00,388.54,388.74,388.4,388.4,6.0,0.0,MyStrategy,47,737756.0,Value,47,200000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,,DrawDown,47,0.0,0.0
48,brf,48,2020-11-30 00:00:00,383.52,383.92,377.46,378.0,32.0,0.0,MyStrategy,48,737759.0,Value,48,200000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,,DrawDown,48,0.0,0.0
49,brf,49,2020-12-01 00:00:00,377.02,380.14,376.48,380.02,16.0,0.0,MyStrategy,49,737760.0,Value,49,200000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,,DrawDown,49,0.0,0.0
50,brf,50,2020-12-02 00:00:00,385.46,387.0,384.82,384.82,20.0,0.0,MyStrategy,50,737761.0,Value,50,200000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,,DrawDown,50,0.0,0.0
51,brf,51,2020-12-03 00:00:00,388.02,389.38,387.18,389.38,11.0,0.0,MyStrategy,51,737762.0,Value,51,200000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,,DrawDown,51,0.0,0.0
