Date,close
2008/1/2,1
2008/1/3,1.008923136
2008/1/4,1.016833529
2008/1/7,1.022858779
2008/1/8,1.021567248
2008/1/9,1.030913308
2008/1/10,1.034844798
2008/1/11,1.040181611
2008/1/14,1.042688813
2008/1/15,1.032426733
2008/1/16,1.003375809
2008/1/17,0.977017947
2008/1/18,0.982495102
2008/1/21,0.932034342
2008/1/22,0.864766605
2008/1/23,0.891943764
2008/1/24,0.894727859
2008/1/25,0.903064969
2008/1/28,0.838128057
2008/1/29,0.845458114
2008/1/30,0.837854958
2008/1/31,0.831319543
2008/2/1,0.819443523
2008/2/4,0.886087304
2008/2/5,0.87234321
2008/2/13,0.851674913
2008/2/14,0.863357489
2008/2/15,0.852890584
2008/2/18,0.866359683
2008/2/19,0.884594742
2008/2/20,0.866147273
2008/2/21,0.858589632
2008/2/22,0.828833203
2008/2/25,0.795122525
2008/2/26,0.803780148
2008/2/27,0.821962104
2008/2/28,0.815411517
2008/2/29,0.824710164
2008/3/3,0.841727656
2008/3/4,0.822227617
2008/3/5,0.814110503
2008/3/6,0.827071334
2008/3/7,0.815603066
2008/3/10,0.786354904
2008/3/11,0.790068294
2008/3/12,0.771907199
2008/3/13,0.753158183
2008/3/14,0.751529071
2008/3/17,0.724480875
2008/3/18,0.695814945
2008/3/19,0.7133976
2008/3/20,0.721446439
2008/3/21,0.720029737
2008/3/24,0.6877149
2008/3/25,0.688365407
2008/3/26,0.684048923
2008/3/27,0.646996573
2008/3/28,0.678983313
2008/3/31,0.65860708
2008/4/1,0.631382508
2008/4/2,0.634932797
2008/4/3,0.653586987
2008/4/7,0.682675841
2008/4/8,0.685126147
2008/4/9,0.647455531
2008/4/10,0.658423118
2008/4/11,0.662434262
2008/4/14,0.625220708
2008/4/15,0.635021933
2008/4/16,0.624259171
2008/4/17,0.611199721
2008/4/18,0.586910964
2008/4/21,0.591142104
2008/4/22,0.596985289
2008/4/23,0.621742486
2008/4/24,0.679529511
2008/4/25,0.674735103
2008/4/28,0.658988281
2008/4/29,0.668222447
